param,value,unit,lower,upper,city,latitude,longitude
Cigarettes 20 Pack (Marlboro),5.95,€,5.6,6,Voghera,44.9926704,9.0086667
One-way Ticket (Local Transport),1.5,€,,,Voghera,44.9926704,9.0086667
Monthly Pass (Regular Price),35.0,€,,,Voghera,44.9926704,9.0086667
Taxi Start (Normal Tariff),4.5,€,4,5,Voghera,44.9926704,9.0086667
Taxi 1 mile (Normal Tariff),1.77,€,1.77,1.77,Voghera,44.9926704,9.0086667
Taxi 1hour Waiting (Normal Tariff),31.0,€,31,31,Voghera,44.9926704,9.0086667
Gasoline (1 gallon),8.07,€,6.44,8.3,Voghera,44.9926704,9.0086667
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),24000.0,€,"18,000.00","30,000.00",Voghera,44.9926704,9.0086667
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),23000.0,€,"20,000.00","26,000.00",Voghera,44.9926704,9.0086667
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",226.79,€,150,309.09,Voghera,44.9926704,9.0086667
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Voghera,44.9926704,9.0086667
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",27.0,€,20,30,Voghera,44.9926704,9.0086667
"Fitness Club, Monthly Fee for 1 Adult",60.0,€,,,Voghera,44.9926704,9.0086667
Tennis Court Rent (1 Hour on Weekend),30.0,€,,,Voghera,44.9926704,9.0086667
"Cinema, International Release, 1 Seat",12.0,€,8,12,Voghera,44.9926704,9.0086667
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",140.0,€,130,700,Voghera,44.9926704,9.0086667
"International Primary School, Yearly for 1 Child",14000.0,€,"14,000.00","14,000.00",Voghera,44.9926704,9.0086667
1 Pair of Jeans (Levis 501 Or Similar),70.0,€,50,90,Voghera,44.9926704,9.0086667
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",14.0,€,14,50,Voghera,44.9926704,9.0086667
1 Pair of Nike Running Shoes (Mid-Range),96.33,€,40,100,Voghera,44.9926704,9.0086667
1 Pair of Men Leather Business Shoes,80.0,€,80,80,Voghera,44.9926704,9.0086667
Apartment (1 bedroom) in City Centre,600.0,€,,,Voghera,44.9926704,9.0086667
Apartment (1 bedroom) Outside of Centre,350.0,€,,,Voghera,44.9926704,9.0086667
Apartment (3 bedrooms) in City Centre,900.0,€,,,Voghera,44.9926704,9.0086667
Apartment (3 bedrooms) Outside of Centre,600.0,€,,,Voghera,44.9926704,9.0086667
Price per Square Feet to Buy Apartment in City Centre,106.84,€,,,Voghera,44.9926704,9.0086667
Price per Square Feet to Buy Apartment Outside of Centre,84.63,€,,,Voghera,44.9926704,9.0086667
Average Monthly Net Salary (After Tax),1500.0,€,,,Voghera,44.9926704,9.0086667
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.5,,1.5,4.9,Voghera,44.9926704,9.0086667
"Meal, Inexpensive Restaurant",15.0,€,10,25,Viterbo,42.49368885,11.945067829807687
"Meal for 2 People, Mid-range Restaurant, Three-course",45.0,€,45,50,Viterbo,42.49368885,11.945067829807687
McMeal at McDonalds (or Equivalent Combo Meal),9.0,€,8,10,Viterbo,42.49368885,11.945067829807687
Domestic Beer (1 pint draught),3.5,€,2,5.5,Viterbo,42.49368885,11.945067829807687
Imported Beer (12 oz small bottle),3.25,€,3,5,Viterbo,42.49368885,11.945067829807687
Cappuccino (regular),1.25,€,1.1,2,Viterbo,42.49368885,11.945067829807687
Coke/Pepsi (12 oz small bottle),2.0,€,1.5,3,Viterbo,42.49368885,11.945067829807687
Water (12 oz small bottle),1.17,€,1,1.5,Viterbo,42.49368885,11.945067829807687
"Milk (regular), (1 gallon)",5.09,€,3.79,6.4,Viterbo,42.49368885,11.945067829807687
Loaf of Fresh White Bread (1 lb),2.04,€,0.91,3.18,Viterbo,42.49368885,11.945067829807687
"Rice (white), (1 lb)",0.92,€,0.91,1.22,Viterbo,42.49368885,11.945067829807687
Eggs (regular) (12),2.8,€,2,3,Viterbo,42.49368885,11.945067829807687
Local Cheese (1 lb),6.55,€,4.54,13.61,Viterbo,42.49368885,11.945067829807687
Chicken Fillets (1 lb),4.99,€,3.63,6.8,Viterbo,42.49368885,11.945067829807687
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),9.07,€,3.63,11.79,Viterbo,42.49368885,11.945067829807687
Apples (1 lb),1.13,€,0.82,1.36,Viterbo,42.49368885,11.945067829807687
Banana (1 lb),0.59,€,0.59,0.95,Viterbo,42.49368885,11.945067829807687
Oranges (1 lb),1.33,€,0.91,1.59,Viterbo,42.49368885,11.945067829807687
Tomato (1 lb),1.2,€,1.04,1.41,Viterbo,42.49368885,11.945067829807687
Potato (1 lb),0.92,€,0.68,1.13,Viterbo,42.49368885,11.945067829807687
Onion (1 lb),0.89,€,0.82,1,Viterbo,42.49368885,11.945067829807687
Lettuce (1 head),1.35,€,0.7,2,Viterbo,42.49368885,11.945067829807687
Water (1.5 liter bottle),0.3,€,0.2,0.5,Viterbo,42.49368885,11.945067829807687
Bottle of Wine (Mid-Range),6.0,€,4.99,10,Viterbo,42.49368885,11.945067829807687
Domestic Beer (0.5 liter bottle),1.35,€,1,2,Viterbo,42.49368885,11.945067829807687
Imported Beer (12 oz small bottle),1.7,€,0.9,2,Viterbo,42.49368885,11.945067829807687
Cigarettes 20 Pack (Marlboro),6.0,€,5,6,Viterbo,42.49368885,11.945067829807687
One-way Ticket (Local Transport),1.0,€,1,1.2,Viterbo,42.49368885,11.945067829807687
Monthly Pass (Regular Price),35.0,€,30,40,Viterbo,42.49368885,11.945067829807687
Taxi Start (Normal Tariff),5.75,€,4.5,7,Viterbo,42.49368885,11.945067829807687
Gasoline (1 gallon),7.28,€,6.62,8.3,Viterbo,42.49368885,11.945067829807687
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),23400.0,€,"23,400.00","23,400.00",Viterbo,42.49368885,11.945067829807687
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),14000.0,€,"14,000.00","14,000.00",Viterbo,42.49368885,11.945067829807687
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",250.0,€,250,425,Viterbo,42.49368885,11.945067829807687
Mobile Phone Monthly Plan with Calls and 10GB+ Data,10.0,€,10,14.99,Viterbo,42.49368885,11.945067829807687
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",29.62,€,24.5,45,Viterbo,42.49368885,11.945067829807687
"Fitness Club, Monthly Fee for 1 Adult",50.0,€,,,Viterbo,42.49368885,11.945067829807687
Tennis Court Rent (1 Hour on Weekend),12.0,€,,,Viterbo,42.49368885,11.945067829807687
"Cinema, International Release, 1 Seat",8.0,€,8,12,Viterbo,42.49368885,11.945067829807687
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",690.0,€,600,850,Viterbo,42.49368885,11.945067829807687
"International Primary School, Yearly for 1 Child",15400.0,€,"13,200.00","18,000.00",Viterbo,42.49368885,11.945067829807687
1 Pair of Jeans (Levis 501 Or Similar),45.0,€,45,100,Viterbo,42.49368885,11.945067829807687
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",30.0,€,30,70,Viterbo,42.49368885,11.945067829807687
1 Pair of Nike Running Shoes (Mid-Range),120.0,€,70,120,Viterbo,42.49368885,11.945067829807687
1 Pair of Men Leather Business Shoes,100.0,€,100,200,Viterbo,42.49368885,11.945067829807687
Apartment (1 bedroom) in City Centre,370.0,€,,,Viterbo,42.49368885,11.945067829807687
Apartment (1 bedroom) Outside of Centre,450.0,€,,,Viterbo,42.49368885,11.945067829807687
Apartment (3 bedrooms) in City Centre,600.0,€,,,Viterbo,42.49368885,11.945067829807687
Apartment (3 bedrooms) Outside of Centre,700.0,€,,,Viterbo,42.49368885,11.945067829807687
Price per Square Feet to Buy Apartment in City Centre,111.48,€,,,Viterbo,42.49368885,11.945067829807687
Price per Square Feet to Buy Apartment Outside of Centre,167.22,€,,,Viterbo,42.49368885,11.945067829807687
Average Monthly Net Salary (After Tax),1366.67,€,,,Viterbo,42.49368885,11.945067829807687
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.72,,1.39,4.9,Viterbo,42.49368885,11.945067829807687
"Meal, Inexpensive Restaurant",19.0,€,11,25,Villacidro,39.4569925,8.7367219
"Meal for 2 People, Mid-range Restaurant, Three-course",95.0,€,80,130,Villacidro,39.4569925,8.7367219
McMeal at McDonalds (or Equivalent Combo Meal),9.75,€,7.5,12,Villacidro,39.4569925,8.7367219
Domestic Beer (1 pint draught),4.75,€,3.5,7,Villacidro,39.4569925,8.7367219
Imported Beer (12 oz small bottle),4.0,€,3.5,6,Villacidro,39.4569925,8.7367219
Cappuccino (regular),1.57,€,1.3,2,Villacidro,39.4569925,8.7367219
Coke/Pepsi (12 oz small bottle),2.67,€,2.5,3,Villacidro,39.4569925,8.7367219
Water (12 oz small bottle),1.62,€,1,2,Villacidro,39.4569925,8.7367219
"Milk (regular), (1 gallon)",5.43,€,3.03,7.57,Villacidro,39.4569925,8.7367219
Loaf of Fresh White Bread (1 lb),1.78,€,0.36,2.72,Villacidro,39.4569925,8.7367219
"Rice (white), (1 lb)",1.12,€,0.77,1.36,Villacidro,39.4569925,8.7367219
Eggs (regular) (12),3.67,€,3,4,Villacidro,39.4569925,8.7367219
Local Cheese (1 lb),9.83,€,5.44,12.7,Villacidro,39.4569925,8.7367219
Chicken Fillets (1 lb),3.03,€,3.03,3.03,Villacidro,39.4569925,8.7367219
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),8.82,€,4.04,13.61,Villacidro,39.4569925,8.7367219
Apples (1 lb),1.44,€,1.36,1.59,Villacidro,39.4569925,8.7367219
Banana (1 lb),1.32,€,0.77,2.27,Villacidro,39.4569925,8.7367219
Oranges (1 lb),1.21,€,1.13,1.36,Villacidro,39.4569925,8.7367219
Tomato (1 lb),2.12,€,1.13,2.72,Villacidro,39.4569925,8.7367219
Potato (1 lb),0.89,€,0.68,1.09,Villacidro,39.4569925,8.7367219
Onion (1 lb),1.12,€,0.68,1.36,Villacidro,39.4569925,8.7367219
Lettuce (1 head),1.0,€,1,1,Villacidro,39.4569925,8.7367219
Water (1.5 liter bottle),0.9,€,0.4,1.5,Villacidro,39.4569925,8.7367219
Bottle of Wine (Mid-Range),9.0,€,8,10,Villacidro,39.4569925,8.7367219
Domestic Beer (0.5 liter bottle),2.25,€,1.5,3,Villacidro,39.4569925,8.7367219
Imported Beer (12 oz small bottle),2.59,€,2.59,2.59,Villacidro,39.4569925,8.7367219
Cigarettes 20 Pack (Marlboro),5.7,€,5.7,5.7,Villacidro,39.4569925,8.7367219
Taxi Start (Normal Tariff),3.0,€,3,3,Villacidro,39.4569925,8.7367219
Gasoline (1 gallon),6.81,€,6.81,6.81,Villacidro,39.4569925,8.7367219
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),26800.0,€,"26,800.00","26,800.00",Villacidro,39.4569925,8.7367219
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),31000.0,€,"31,000.00","31,000.00",Villacidro,39.4569925,8.7367219
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",30.0,€,30,30,Villacidro,39.4569925,8.7367219
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",390.0,€,390,390,Villacidro,39.4569925,8.7367219
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.45,,4,4.9,Villacidro,39.4569925,8.7367219
"Meal, Inexpensive Restaurant",15.0,€,,,Vigevano,45.3172517,8.8580183
"Meal for 2 People, Mid-range Restaurant, Three-course",30.0,€,,,Vigevano,45.3172517,8.8580183
McMeal at McDonalds (or Equivalent Combo Meal),7.0,€,,,Vigevano,45.3172517,8.8580183
Domestic Beer (1 pint draught),5.0,€,,,Vigevano,45.3172517,8.8580183
Imported Beer (12 oz small bottle),5.0,€,,,Vigevano,45.3172517,8.8580183
Cappuccino (regular),1.3,€,,,Vigevano,45.3172517,8.8580183
Coke/Pepsi (12 oz small bottle),2.0,€,,,Vigevano,45.3172517,8.8580183
Water (12 oz small bottle),1.0,€,,,Vigevano,45.3172517,8.8580183
One-way Ticket (Local Transport),1.0,€,,,Vigevano,45.3172517,8.8580183
Taxi Start (Normal Tariff),10.0,€,,,Vigevano,45.3172517,8.8580183
"Fitness Club, Monthly Fee for 1 Adult",30.0,€,,,Vigevano,45.3172517,8.8580183
Tennis Court Rent (1 Hour on Weekend),15.0,€,,,Vigevano,45.3172517,8.8580183
"Cinema, International Release, 1 Seat",8.0,€,,,Vigevano,45.3172517,8.8580183
1 Pair of Jeans (Levis 501 Or Similar),80.0,€,,,Vigevano,45.3172517,8.8580183
1 Pair of Nike Running Shoes (Mid-Range),80.0,€,,,Vigevano,45.3172517,8.8580183
1 Pair of Men Leather Business Shoes,120.0,€,,,Vigevano,45.3172517,8.8580183
Average Monthly Net Salary (After Tax),1300.0,€,,,Vigevano,45.3172517,8.8580183
"Meal, Inexpensive Restaurant",12.0,€,10,25,Vicenza,45.63485905,11.40635425660249
"Meal for 2 People, Mid-range Restaurant, Three-course",60.0,€,50,70,Vicenza,45.63485905,11.40635425660249
McMeal at McDonalds (or Equivalent Combo Meal),9.0,€,8,10,Vicenza,45.63485905,11.40635425660249
Domestic Beer (1 pint draught),5.0,€,3,6.5,Vicenza,45.63485905,11.40635425660249
Imported Beer (12 oz small bottle),4.0,€,3,5,Vicenza,45.63485905,11.40635425660249
Cappuccino (regular),1.64,€,1.1,2,Vicenza,45.63485905,11.40635425660249
Coke/Pepsi (12 oz small bottle),2.8,€,2,3.5,Vicenza,45.63485905,11.40635425660249
Water (12 oz small bottle),1.61,€,1,2.5,Vicenza,45.63485905,11.40635425660249
"Milk (regular), (1 gallon)",6.1,€,4.13,9.46,Vicenza,45.63485905,11.40635425660249
Loaf of Fresh White Bread (1 lb),1.94,€,0.91,3.04,Vicenza,45.63485905,11.40635425660249
"Rice (white), (1 lb)",0.89,€,0.45,1.81,Vicenza,45.63485905,11.40635425660249
Eggs (regular) (12),3.65,€,1.74,4.8,Vicenza,45.63485905,11.40635425660249
Local Cheese (1 lb),5.07,€,3.58,6.8,Vicenza,45.63485905,11.40635425660249
Chicken Fillets (1 lb),4.15,€,3.18,4.54,Vicenza,45.63485905,11.40635425660249
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),7.55,€,4.49,13.61,Vicenza,45.63485905,11.40635425660249
Apples (1 lb),0.93,€,0.59,1.13,Vicenza,45.63485905,11.40635425660249
Banana (1 lb),0.87,€,0.45,1.36,Vicenza,45.63485905,11.40635425660249
Oranges (1 lb),1.03,€,0.82,1.36,Vicenza,45.63485905,11.40635425660249
Tomato (1 lb),1.55,€,0.68,2.27,Vicenza,45.63485905,11.40635425660249
Potato (1 lb),0.58,€,0.45,0.68,Vicenza,45.63485905,11.40635425660249
Onion (1 lb),0.91,€,0.45,1.81,Vicenza,45.63485905,11.40635425660249
Lettuce (1 head),1.88,€,1,3,Vicenza,45.63485905,11.40635425660249
Water (1.5 liter bottle),0.47,€,0.3,0.54,Vicenza,45.63485905,11.40635425660249
Bottle of Wine (Mid-Range),5.0,€,5,10,Vicenza,45.63485905,11.40635425660249
Domestic Beer (0.5 liter bottle),2.33,€,1.5,3,Vicenza,45.63485905,11.40635425660249
Imported Beer (12 oz small bottle),2.25,€,1.5,3,Vicenza,45.63485905,11.40635425660249
Cigarettes 20 Pack (Marlboro),5.8,€,5.5,6,Vicenza,45.63485905,11.40635425660249
One-way Ticket (Local Transport),2.0,€,1.5,2,Vicenza,45.63485905,11.40635425660249
Monthly Pass (Regular Price),40.0,€,35,50,Vicenza,45.63485905,11.40635425660249
Taxi Start (Normal Tariff),8.0,€,8,10,Vicenza,45.63485905,11.40635425660249
Taxi 1 mile (Normal Tariff),3.22,€,,,Vicenza,45.63485905,11.40635425660249
Taxi 1hour Waiting (Normal Tariff),25.0,€,,,Vicenza,45.63485905,11.40635425660249
Gasoline (1 gallon),7.43,€,6.44,8.3,Vicenza,45.63485905,11.40635425660249
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),24625.0,€,"23,250.00","26,000.00",Vicenza,45.63485905,11.40635425660249
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),30000.0,€,,,Vicenza,45.63485905,11.40635425660249
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",233.39,€,124.67,425,Vicenza,45.63485905,11.40635425660249
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Vicenza,45.63485905,11.40635425660249
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",29.41,€,24,35,Vicenza,45.63485905,11.40635425660249
"Fitness Club, Monthly Fee for 1 Adult",46.67,€,30,50,Vicenza,45.63485905,11.40635425660249
Tennis Court Rent (1 Hour on Weekend),33.75,€,25,35,Vicenza,45.63485905,11.40635425660249
"Cinema, International Release, 1 Seat",9.95,€,9,14,Vicenza,45.63485905,11.40635425660249
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",460.0,€,300,650,Vicenza,45.63485905,11.40635425660249
"International Primary School, Yearly for 1 Child",5000.0,€,,,Vicenza,45.63485905,11.40635425660249
1 Pair of Jeans (Levis 501 Or Similar),100.83,€,50,150,Vicenza,45.63485905,11.40635425660249
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",31.33,€,29,39,Vicenza,45.63485905,11.40635425660249
1 Pair of Nike Running Shoes (Mid-Range),86.67,€,50,100,Vicenza,45.63485905,11.40635425660249
1 Pair of Men Leather Business Shoes,112.0,€,50,300,Vicenza,45.63485905,11.40635425660249
Apartment (1 bedroom) in City Centre,535.62,€,450,700,Vicenza,45.63485905,11.40635425660249
Apartment (1 bedroom) Outside of Centre,413.33,€,300,500,Vicenza,45.63485905,11.40635425660249
Apartment (3 bedrooms) in City Centre,1233.33,€,"1,000.00","1,800.00",Vicenza,45.63485905,11.40635425660249
Apartment (3 bedrooms) Outside of Centre,680.0,€,600,850,Vicenza,45.63485905,11.40635425660249
Price per Square Feet to Buy Apartment in City Centre,244.64,€,176.51,278.71,Vicenza,45.63485905,11.40635425660249
Price per Square Feet to Buy Apartment Outside of Centre,145.55,€,92.9,204.38,Vicenza,45.63485905,11.40635425660249
Average Monthly Net Salary (After Tax),1535.0,€,,,Vicenza,45.63485905,11.40635425660249
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.23,,3,4.9,Vicenza,45.63485905,11.40635425660249
"Meal, Inexpensive Restaurant",12.5,€,5,20,Viareggio,43.8672392,10.2506055
"Meal for 2 People, Mid-range Restaurant, Three-course",60.0,€,50,60,Viareggio,43.8672392,10.2506055
McMeal at McDonalds (or Equivalent Combo Meal),10.0,€,8,12,Viareggio,43.8672392,10.2506055
Domestic Beer (1 pint draught),5.0,€,5,5,Viareggio,43.8672392,10.2506055
Imported Beer (12 oz small bottle),3.75,€,3.5,4,Viareggio,43.8672392,10.2506055
Cappuccino (regular),1.25,€,1.2,1.3,Viareggio,43.8672392,10.2506055
Coke/Pepsi (12 oz small bottle),2.25,€,2,2.5,Viareggio,43.8672392,10.2506055
Water (12 oz small bottle),1.25,€,1,1.5,Viareggio,43.8672392,10.2506055
"Milk (regular), (1 gallon)",3.79,€,2.27,5.3,Viareggio,43.8672392,10.2506055
Loaf of Fresh White Bread (1 lb),1.59,€,0.91,2.27,Viareggio,43.8672392,10.2506055
"Rice (white), (1 lb)",0.45,€,0.45,0.45,Viareggio,43.8672392,10.2506055
Eggs (regular) (12),1.2,€,1.2,1.2,Viareggio,43.8672392,10.2506055
Local Cheese (1 lb),8.62,€,8.62,8.62,Viareggio,43.8672392,10.2506055
Chicken Fillets (1 lb),2.49,€,2.49,2.49,Viareggio,43.8672392,10.2506055
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),8.85,€,8.85,8.85,Viareggio,43.8672392,10.2506055
Banana (1 lb),0.68,€,0.68,0.68,Viareggio,43.8672392,10.2506055
Potato (1 lb),0.41,€,0.41,0.41,Viareggio,43.8672392,10.2506055
Lettuce (1 head),0.9,€,0.9,0.9,Viareggio,43.8672392,10.2506055
Water (1.5 liter bottle),0.79,€,0.79,0.79,Viareggio,43.8672392,10.2506055
Bottle of Wine (Mid-Range),5.5,€,5.5,5.5,Viareggio,43.8672392,10.2506055
Domestic Beer (0.5 liter bottle),1.8,€,1.8,1.8,Viareggio,43.8672392,10.2506055
Cigarettes 20 Pack (Marlboro),5.5,€,5.5,5.5,Viareggio,43.8672392,10.2506055
One-way Ticket (Local Transport),1.6,€,,,Viareggio,43.8672392,10.2506055
Monthly Pass (Regular Price),30.0,€,,,Viareggio,43.8672392,10.2506055
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",160.0,€,160,160,Viareggio,43.8672392,10.2506055
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",28.0,€,28,28,Viareggio,43.8672392,10.2506055
"Fitness Club, Monthly Fee for 1 Adult",50.0,€,40,60,Viareggio,43.8672392,10.2506055
Tennis Court Rent (1 Hour on Weekend),18.0,€,,,Viareggio,43.8672392,10.2506055
"Cinema, International Release, 1 Seat",8.5,€,8.5,8.5,Viareggio,43.8672392,10.2506055
